"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime","pub_date"
"12","PMdUKSjVe9Y","2024-11-06T15:30:07Z","UChDKyKQ59fYz3JO2fl0Z6sg","How Democrats are reacting to Trump’s 2024 presidential win","Following Donald Trump's win over Kamala Harris in the 2024 presidential election, reactions are pouring in from Democrats ...","https://i.ytimg.com/vi/PMdUKSjVe9Y/default.jpg","120","90","https://i.ytimg.com/vi/PMdUKSjVe9Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PMdUKSjVe9Y/hqdefault.jpg","480","360","TODAY","none","2024-11-06T15:30:07Z",2024-11-06
"13","0kMgu6-Mke4","2024-11-15T00:40:56Z","UCaXkIU1QidjPwiAYu6GcHjg","What happens now for Democrats? I Brian Tyler Cohen breakdown","In the days following the 2024 election, Democrats have been asking themselves the same question: How did this happen?","https://i.ytimg.com/vi/0kMgu6-Mke4/default.jpg","120","90","https://i.ytimg.com/vi/0kMgu6-Mke4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0kMgu6-Mke4/hqdefault.jpg","480","360","MSNBC","none","2024-11-15T00:40:56Z",2024-11-15
"14","ANGnJ6LJuIk","2024-11-06T10:07:44Z","UC16niRr50-MSBwiO3YDb3RA","US election: What went wrong for Kamala Harris? | BBC News","Donald Trump is likely to win the 2024 US presidential election after picking up three key battleground states. The Republican ...","https://i.ytimg.com/vi/ANGnJ6LJuIk/default.jpg","120","90","https://i.ytimg.com/vi/ANGnJ6LJuIk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ANGnJ6LJuIk/hqdefault.jpg","480","360","BBC News","none","2024-11-06T10:07:44Z",2024-11-06
"15","V-bBL0303Kw","2024-11-17T05:34:41Z","UCqFzWxSCi39LnW1JKFR3efg","Trump and Biden Meeting Cold Open - SNL","Joe Biden (Dana Carvey) welcomes President-elect Donald Trump (James Austin Johnson) to the White House before being ...","https://i.ytimg.com/vi/V-bBL0303Kw/default.jpg","120","90","https://i.ytimg.com/vi/V-bBL0303Kw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/V-bBL0303Kw/hqdefault.jpg","480","360","Saturday Night Live","none","2024-11-17T05:34:41Z",2024-11-17
"16","Fh7hEHpjfsU","2024-11-03T14:24:23Z","UCBi2mrWuNuyYy4gbM6fU18Q","Latest poll with just 2 days until election day","ABC News' Political Director and Washington Bureau Chief Rick Klein breaks down the numbers in the latest ABC News/Ipsos ...","https://i.ytimg.com/vi/Fh7hEHpjfsU/default.jpg","120","90","https://i.ytimg.com/vi/Fh7hEHpjfsU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Fh7hEHpjfsU/hqdefault.jpg","480","360","ABC News","none","2024-11-03T14:24:23Z",2024-11-03
"17","4st9LQZE-MY","2024-11-17T03:07:32Z","UC4i_9WvfPRTuRWEaWyfKuFw","🇺🇸 President-elect Donald Trump arrives at Madison Square Garden alongside Elon Musk #UFC309 😮‍💨","President-elect Donald Trump arrives at Madison Square Garden to a massive reception ahead of UFC 309 alongside Elon Musk ...","https://i.ytimg.com/vi/4st9LQZE-MY/default.jpg","120","90","https://i.ytimg.com/vi/4st9LQZE-MY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4st9LQZE-MY/hqdefault.jpg","480","360","TNT Sports","none","2024-11-17T03:07:32Z",2024-11-17
"18","9en3MfJhlY4","2024-11-04T17:25:50Z","UCoMdktPbSTixAyNGwb-UYkQ","Explainer: What to expect on US election night | US election","Do you know your Rust Belts from your Sun Belts? Or why Pennsylvania is so crucial to Donald Trump and Kamala Harris?","https://i.ytimg.com/vi/9en3MfJhlY4/default.jpg","120","90","https://i.ytimg.com/vi/9en3MfJhlY4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9en3MfJhlY4/hqdefault.jpg","480","360","Sky News","none","2024-11-04T17:25:50Z",2024-11-04
"19","9olb6OvXjKg","2024-11-06T11:09:22Z","UCupvZG-5ko_eiXAupbDfxWw","Trump wins 2024 presidential election, CNN projects","Former President Donald Trump will defeat Vice President Kamala Harris and return to the White House, CNN projects, in a ...","https://i.ytimg.com/vi/9olb6OvXjKg/default.jpg","120","90","https://i.ytimg.com/vi/9olb6OvXjKg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9olb6OvXjKg/hqdefault.jpg","480","360","CNN","none","2024-11-06T11:09:22Z",2024-11-06
"20","d6_B6eMYRnI","2024-10-21T14:30:06Z","UCef1-8eOpJgud7szVPlZQAQ","US Elections 2024 | Two Weeks To Go For US Presidential Elections 2024 | Trump Vs Kamala | N18G","US Elections 2024 | Two Weeks To Go For US Presidential Elections 2024 | Trump Vs Kamala | N18G The US presidential race ...","https://i.ytimg.com/vi/d6_B6eMYRnI/default.jpg","120","90","https://i.ytimg.com/vi/d6_B6eMYRnI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/d6_B6eMYRnI/hqdefault.jpg","480","360","CNN-News18","none","2024-10-21T14:30:06Z",2024-10-21
"21","nco0u_P61tQ","2024-10-31T02:00:26Z","UChLtXXpo4Ge1ReTEboVvTDg","US election 2024: Trump, Harris virtually tied in polls","The winner of the 2024 U.S. election could come down to just a few thousand votes, as the polls show Kamala Harris and Donald ...","https://i.ytimg.com/vi/nco0u_P61tQ/default.jpg","120","90","https://i.ytimg.com/vi/nco0u_P61tQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/nco0u_P61tQ/hqdefault.jpg","480","360","Global News","none","2024-10-31T02:00:26Z",2024-10-31
"22","a3VR8Oq10mk","2024-10-25T17:35:36Z","UCupvZG-5ko_eiXAupbDfxWw","See results of CNN&#39;s final nationwide Trump-Harris poll","CNN political director David Chalian explains the results of a new and final 2024 CNN poll that has Kamala Harris and Donald ...","https://i.ytimg.com/vi/a3VR8Oq10mk/default.jpg","120","90","https://i.ytimg.com/vi/a3VR8Oq10mk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/a3VR8Oq10mk/hqdefault.jpg","480","360","CNN","none","2024-10-25T17:35:36Z",2024-10-25
"23","C450EnxM2fM","2024-11-06T10:36:29Z","UCK7tptUDHh-RYDsdxO1-5QQ","How Trump Defeated Harris for President: Key Election Campaign Moments | WSJ","Donald Trump was elected president of the United States, defeating a resurgent Democratic nominee in Vice President Kamala ...","https://i.ytimg.com/vi/C450EnxM2fM/default.jpg","120","90","https://i.ytimg.com/vi/C450EnxM2fM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/C450EnxM2fM/hqdefault.jpg","480","360","The Wall Street Journal","none","2024-11-06T10:36:29Z",2024-11-06
"24","kvsfmJI5nJU","2024-11-05T12:58:45Z","UCBi2mrWuNuyYy4gbM6fU18Q","How Harris or Trump could win the election","ABC News Political Director and Washington Bureau Chief Rick Klein breaks down the latest polling in the tight race between ...","https://i.ytimg.com/vi/kvsfmJI5nJU/default.jpg","120","90","https://i.ytimg.com/vi/kvsfmJI5nJU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kvsfmJI5nJU/hqdefault.jpg","480","360","ABC News","none","2024-11-05T12:58:45Z",2024-11-05
"25","d4xTktY-lrw","2024-11-07T20:21:50Z","UCF-VP3b3oH0XASqsLI5rnLw","Donald Trump ‘acted like a man’, says Putin","President Vladimir Putin congratulated Donald Trump on winning the US election, praised him for showing courage when a ...","https://i.ytimg.com/vi/d4xTktY-lrw/default.jpg","120","90","https://i.ytimg.com/vi/d4xTktY-lrw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/d4xTktY-lrw/hqdefault.jpg","480","360","The Times and The Sunday Times","none","2024-11-07T20:21:50Z",2024-11-07
"26","9P5HtoEBWrY","2024-11-09T16:30:01Z","UCz8QaiQxApLq8sLNcszYyJw","US Election 2024: How Pennsylvania Tilted the Game in Trump&#39;s Favour? | Vantage with Palki Sharma","US Election 2024: How Pennsylvania Tilted the Game in Trump's Favour? | Vantage with Palki Sharma Donald Trump has won ...","https://i.ytimg.com/vi/9P5HtoEBWrY/default.jpg","120","90","https://i.ytimg.com/vi/9P5HtoEBWrY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9P5HtoEBWrY/hqdefault.jpg","480","360","Firstpost","none","2024-11-09T16:30:01Z",2024-11-09
"27","Abw5LIIfgEo","2024-11-06T10:46:50Z","UC16niRr50-MSBwiO3YDb3RA","Donald Trump wins US presidential election | BBC News","Donald Trump has won the 2024 US presidential election, securing a historic return to White House. Hailing a “magnificent ...","https://i.ytimg.com/vi/Abw5LIIfgEo/default.jpg","120","90","https://i.ytimg.com/vi/Abw5LIIfgEo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Abw5LIIfgEo/hqdefault.jpg","480","360","BBC News","none","2024-11-06T10:46:50Z",2024-11-06
"28","Pf5vkBwiEUk","2024-11-09T08:38:59Z","UCoMdktPbSTixAyNGwb-UYkQ","Sky&#39;s Tom Cheshire explains the US election results","Sky's Tom Cheshire takes a look at the US election results and the wider historical context of the vote. Sky's data and forensics ...","https://i.ytimg.com/vi/Pf5vkBwiEUk/default.jpg","120","90","https://i.ytimg.com/vi/Pf5vkBwiEUk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Pf5vkBwiEUk/hqdefault.jpg","480","360","Sky News","none","2024-11-09T08:38:59Z",2024-11-09
"29","0ZcImeimg0U","2024-11-12T21:31:01Z","UC8p1vwvWtl6T73JiExfWs1g","What we know about Trump&#39;s team picks a week after 2024 elections","South Dakota Gov. Kristi Noem and Florida Sen. Marco Rubio are the latest expected picks for President-elect Donald Trump's ...","https://i.ytimg.com/vi/0ZcImeimg0U/default.jpg","120","90","https://i.ytimg.com/vi/0ZcImeimg0U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0ZcImeimg0U/hqdefault.jpg","480","360","CBS News","none","2024-11-12T21:31:01Z",2024-11-12
"30","woCTR--uvFM","2024-11-06T23:38:27Z","UCuFFtHWoLl5fauMMD5Ww2jA","The exact moment Trump won the election | About That","Donald Trump will once again be president of the United States as the second person in U.S. history to win two non-consecutive ...","https://i.ytimg.com/vi/woCTR--uvFM/default.jpg","120","90","https://i.ytimg.com/vi/woCTR--uvFM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/woCTR--uvFM/hqdefault.jpg","480","360","CBC News","none","2024-11-06T23:38:27Z",2024-11-06
"31","604zZ6kKaB4","2024-11-16T18:22:53Z","UCwqusr8YDwM-3mEYTDeJHzw","1500 Hindus Celebrate Trump Victory in US Elections, Dance To Popular Disco Song YMCA | Chicago","1500 Hindus Celebrate Trump Victory in US Elections, Dance To Popular Disco Song YMCA | Chicago #donaldtrump ...","https://i.ytimg.com/vi/604zZ6kKaB4/default.jpg","120","90","https://i.ytimg.com/vi/604zZ6kKaB4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/604zZ6kKaB4/hqdefault.jpg","480","360","Republic World","none","2024-11-16T18:22:53Z",2024-11-16
"32","T2K-K3xDE8Y","2024-10-11T00:30:26Z","UCxcrzzhQDj5zKJbXfIscCtg","Allan Lichtman shares his 2024 presidential election prediction | 7.30","Most political analysts in the US are reluctant to project a winner in this year's race for the White House. Not Professor Allan ...","https://i.ytimg.com/vi/T2K-K3xDE8Y/default.jpg","120","90","https://i.ytimg.com/vi/T2K-K3xDE8Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/T2K-K3xDE8Y/hqdefault.jpg","480","360","ABC News In-depth","none","2024-10-11T00:30:26Z",2024-10-11
"33","YlabJFdFusI","2024-11-06T09:41:00Z","UCvRAX-ujvZ0eTMLGG2vki9w","Trump claims victory over Harris in US presidential election","U.S. Republican presidential candidate Donald Trump takes the stage in West Palm Beach, Florida, to claim victory over Kamala ...","https://i.ytimg.com/vi/YlabJFdFusI/default.jpg","120","90","https://i.ytimg.com/vi/YlabJFdFusI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YlabJFdFusI/hqdefault.jpg","480","360","INQUIRER.net","none","2024-11-06T09:41:00Z",2024-11-06
"34","OwpaDQJ3eu8","2024-11-08T18:07:59Z","UCNye-wNBqNL5ZzHSJj3l8Bg","How Kamala Harris and the Democrats lost the 2024 US election | UpFront","In a historic political comeback, former President Donald Trump has been re-elected for a second term in office, despite facing ...","https://i.ytimg.com/vi/OwpaDQJ3eu8/default.jpg","120","90","https://i.ytimg.com/vi/OwpaDQJ3eu8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OwpaDQJ3eu8/hqdefault.jpg","480","360","Al Jazeera English","none","2024-11-08T18:07:59Z",2024-11-08
"35","RHmyyiJgtc4","2024-11-06T23:48:22Z","UCVTyTA7-g9nopHeHbeuvpRA","Seth Meyers Addresses the Outcome of the 2024 Presidential Election","Seth Meyers shares his thoughts on Donald Trump winning the 2024 presidential election. Late Night with Seth Meyers. Stream ...","https://i.ytimg.com/vi/RHmyyiJgtc4/default.jpg","120","90","https://i.ytimg.com/vi/RHmyyiJgtc4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RHmyyiJgtc4/hqdefault.jpg","480","360","Late Night with Seth Meyers","none","2024-11-06T23:48:22Z",2024-11-06
"36","wuHAsCTk3X8","2024-11-04T01:40:23Z","UCaXkIU1QidjPwiAYu6GcHjg","Record shattering: Steve Kornacki breaks down historic results in last minute 2024 polling","Steve Kornacki, national political correspondent for MSNBC, talks about the latest results from polling by NBC News, including ...","https://i.ytimg.com/vi/wuHAsCTk3X8/default.jpg","120","90","https://i.ytimg.com/vi/wuHAsCTk3X8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wuHAsCTk3X8/hqdefault.jpg","480","360","MSNBC","none","2024-11-04T01:40:23Z",2024-11-04
"37","11mRIouqi5c","2024-09-05T01:58:49Z","UCZFMm1mMw0F81Z37aaEzTUA","US Elections 2024 | Amazon Alexa&#39;s &#39;Shocking&#39; Answer On Why You Should Vote For Trump","In today's episode of US Election Watch, Amazon's Alexa is receiving flak from Republicans for its alleged biased political ...","https://i.ytimg.com/vi/11mRIouqi5c/default.jpg","120","90","https://i.ytimg.com/vi/11mRIouqi5c/mqdefault.jpg","320","180","https://i.ytimg.com/vi/11mRIouqi5c/hqdefault.jpg","480","360","NDTV","none","2024-09-05T01:58:49Z",2024-09-05
"38","SzRR3STVTTc","2024-11-04T16:57:05Z","UCIRYBXDze5krPDzAEOxFGVA","The key moments of the US election campaign in three minutes","It has been called the most critical election in US history, and it has certainly been one of the wildest races. Subscribe to Guardian ...","https://i.ytimg.com/vi/SzRR3STVTTc/default.jpg","120","90","https://i.ytimg.com/vi/SzRR3STVTTc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SzRR3STVTTc/hqdefault.jpg","480","360","Guardian News","none","2024-11-04T16:57:05Z",2024-11-04
"39","X4FtUJdKFCE","2024-11-06T23:25:23Z","UCeY0bbntWzzVIaj2z3QigXg","WATCH LIVE: Donald Trump wins 2024 presidential election | NBC News NOW","NBC News NOW is live, reporting breaking news and developing 2024 Election coverage in real time. Coverage and analysis will ...","https://i.ytimg.com/vi/X4FtUJdKFCE/default.jpg","120","90","https://i.ytimg.com/vi/X4FtUJdKFCE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/X4FtUJdKFCE/hqdefault.jpg","480","360","NBC News","none","2024-11-06T23:25:23Z",2024-11-06
"40","LS8amqeDbS8","2024-11-06T11:30:07Z","UC8p1vwvWtl6T73JiExfWs1g","Trump wins 2024 presidential election, CBS News projects | full coverage","Voters on Tuesday weighed in on key issues and races including the 2024 presidential contest between Vice President Kamala ...","https://i.ytimg.com/vi/LS8amqeDbS8/default.jpg","120","90","https://i.ytimg.com/vi/LS8amqeDbS8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/LS8amqeDbS8/hqdefault.jpg","480","360","CBS News","none","2024-11-06T11:30:07Z",2024-11-06
"41","AaxRQObz_xQ","2024-11-14T19:55:00Z","UCsqjHFMB_JYTaEnf_vmTNqg","What Does The Presidential Election Mean For The Car Industry? #shorts #carsandbids #thiscarpod","CHECK OUT CARS & BIDS! https://carsandbids.com.","https://i.ytimg.com/vi/AaxRQObz_xQ/default.jpg","120","90","https://i.ytimg.com/vi/AaxRQObz_xQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AaxRQObz_xQ/hqdefault.jpg","480","360","Doug DeMuro","none","2024-11-14T19:55:00Z",2024-11-14
"42","5JiO-EFQ4do","2024-11-04T06:35:58Z","UCIALMKvObZNtJ6AmdCLP7Lg","Famed US Election Predictor Forecasts Kamala Harris Win","Allan Lichtman, American University's Distinguished Professor of History, says he still sees Kamala Harris winning the US ...","https://i.ytimg.com/vi/5JiO-EFQ4do/default.jpg","120","90","https://i.ytimg.com/vi/5JiO-EFQ4do/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5JiO-EFQ4do/hqdefault.jpg","480","360","Bloomberg Television","none","2024-11-04T06:35:58Z",2024-11-04
"43","KmQLhtlHO1o","2024-11-01T14:41:47Z","UCK7tptUDHh-RYDsdxO1-5QQ","Why Elon Musk and His Tech Allies Want Trump to Win Now | WSJ","Elon Musk has become one of former president Donald Trump's most powerful allies in the final weeks of the presidential election ...","https://i.ytimg.com/vi/KmQLhtlHO1o/default.jpg","120","90","https://i.ytimg.com/vi/KmQLhtlHO1o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KmQLhtlHO1o/hqdefault.jpg","480","360","The Wall Street Journal","none","2024-11-01T14:41:47Z",2024-11-01
